"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 -"
"NIFTY 50","24,185.40","24,242.60","24,072.00","24,125.55","24,167.25","-","41.70","0.17","44,09,40,490","35,479.11","26,277.35","21,281.45","3.32","8.93"
"ITC","425.95","434.80","423.55","422.85","432.85","-","10.00","2.36","3,20,31,936","1,370.84","528.50","390.15","4.27","-0.45"
"HINDUNILVR","2,370.00","2,406.00","2,355.10","2,351.00","2,403.00","-","52.00","2.21","23,52,346","561.18","3,035.00","2,136.00","4.67","5.35"
"HDFCBANK","1,935.00","1,970.60","1,935.00","1,927.10","1,960.00","-","32.90","1.71","2,29,80,875","4,497.70","1,970.60","1,426.80","8.85","25.85"
"JIOFIN","245.50","251.34","243.70","246.38","250.60","-","4.22","1.71","3,02,35,264","750.08","394.70","198.65","7.53","-33.43"
"M&M","2,765.00","2,822.00","2,756.00","2,764.00","2,811.10","-","47.10","1.70","31,93,757","894.25","3,270.95","2,001.00","-1.35","32.70"
"TATACONSUM","1,121.70","1,149.00","1,118.20","1,121.00","1,138.60","-","17.60","1.57","12,31,830","140.23","1,250.10","882.90","16.63","-1.50"
"BEL","301.00","304.75","299.75","299.95","303.50","-","3.55","1.18","1,19,62,358","362.69","340.50","221.00","1.42","28.57"
"KOTAKBANK","2,249.00","2,301.90","2,245.40","2,241.40","2,265.00","-","23.60","1.05","67,32,983","1,535.85","2,301.90","1,543.85","7.81","25.03"
"JSWSTEEL","1,060.00","1,060.40","1,037.00","1,034.00","1,044.90","-","10.90","1.05","21,53,582","225.06","1,074.90","823.80","-2.33","19.57"
"ETERNAL","236.00","243.45","235.00","234.24","236.57","-","2.33","0.99","5,96,67,380","1,424.50","304.70","146.30","-","-"
"CIPLA","1,514.90","1,534.70","1,502.70","1,511.10","1,523.00","-","11.90","0.79","9,54,974","145.54","1,702.05","1,317.25","-0.84","12.29"
"SBIN","821.15","835.50","814.00","816.70","821.30","-","4.60","0.56","2,51,17,557","2,078.03","912.00","680.00","8.43","8.83"
"NESTLEIND","2,405.00","2,420.00","2,390.00","2,399.40","2,409.40","-","10.00","0.42","4,87,954","117.44","2,778.00","2,110.00","5.75","-1.57"
"ICICIBANK","1,412.80","1,418.80","1,398.90","1,409.80","1,414.00","-","4.20","0.30","1,61,35,274","2,276.11","1,436.00","1,051.05","4.97","32.10"
"HCLTECH","1,490.00","1,499.90","1,464.50","1,482.00","1,485.90","-","3.90","0.26","26,08,145","386.16","2,012.20","1,235.00","-5.41","2.38"
"SUNPHARMA","1,751.00","1,755.00","1,734.50","1,744.90","1,748.40","-","3.50","0.20","9,61,907","167.80","1,960.35","1,377.20","-2.22","14.58"
"TITAN","3,336.10","3,358.80","3,320.10","3,336.10","3,341.30","-","5.20","0.16","6,09,213","203.34","3,867.00","2,925.00","5.48","-6.37"
"TATAMOTORS","630.25","633.95","626.20","630.05","630.50","-","0.45","0.07","1,02,92,748","649.46","1,179.00","535.75","-10.37","-34.59"
"ADANIENT","2,458.90","2,483.40","2,441.00","2,442.70","2,442.90","-","0.20","0.01","7,66,567","188.77","3,743.90","2,025.00","3.38","-19.30"
"MARUTI","11,770.00","11,788.00","11,615.00","11,745.00","11,744.00","-","-1.00","-0.01","5,16,753","604.75","13,680.00","10,725.00","0.10","-7.60"
"ULTRACEMCO","11,934.00","12,017.00","11,850.00","11,934.00","11,917.00","-","-17.00","-0.14","3,34,667","400.90","12,145.35","9,408.05","8.72","27.45"
"DRREDDY","1,173.90","1,180.50","1,162.30","1,177.40","1,175.10","-","-2.30","-0.20","13,13,400","154.17","1,421.49","1,020.00","-1.90","-80.19"
"TECHM","1,374.00","1,396.00","1,361.20","1,373.50","1,370.10","-","-3.40","-0.25","24,71,135","340.83","1,807.70","1,172.80","-2.54","15.07"
"TCS","3,322.60","3,333.90","3,295.00","3,321.60","3,312.50","-","-9.10","-0.27","27,10,498","898.59","4,592.25","3,056.05","-7.17","-13.19"
"COALINDIA","403.50","405.80","394.30","400.50","399.40","-","-1.10","-0.27","75,58,174","303.54","543.55","349.25","-1.21","-7.99"
"EICHERMOT","5,811.00","5,906.50","5,766.50","5,810.50","5,789.00","-","-21.50","-0.37","4,59,537","267.92","5,906.50","4,253.85","9.51","33.75"
